id,name_vn,trigger_year,trigger_month,description,effect_type,effect_value,affected_faction,story_arc,arc_role,chain_next,lore_tag
spirit_awakening,Linh Mạch Chấn Động,5,3,"Long mạch dưới chân Tản Viên Sơn rung chuyển sau nghìn năm ngủ yên. Linh khí cả vùng dày đặc gấp đôi — dấu hiệu một thời đại mới bắt đầu. Người ta kháo nhau: lần trước long mạch động là lúc Hùng Vương khai quốc.",resource_bonus,15,all,main,opening,mist_market,long_mach
mist_market,Sương Thị Khai Mở,13,1,"Chợ sương mù Bạch Sa Độ mở cửa tại biên giới nhân-yêu. Thương nhân ba tộc tụ họp dưới đèn linh thạch. Tin đồn lan rằng có kẻ bán ký ức — và có người mua.",resource_bonus,10,human,sub_trade,opening,sky_pavilion,giao_thuong
spirit_rain,Linh Vũ Thất Nhật,22,4,"Trời đổ linh vũ suốt bảy ngày. Cây cỏ đơm hoa linh thảo mọc tràn. Tu sĩ Mộc hệ đột phá hàng loạt. Người già nhìn trời lắc đầu — mưa quá thịnh ắt sinh lũ.",resource_bonus,12,human,sub_nature,rising,spirit_flood,linh_vu
spirit_flood,Lũ Linh Khí,26,9,"Linh khí tích tụ không thoát hóa lũ linh cuốn phăng nhiều tiểu tông. Kẻ tu vi thấp bị nghiền nát từ bên trong. Những kẻ sống sót lập ra Liên Minh Tiểu Tông — tổ chức đầu tiên của tản tu.",resource_penalty,-8,human,sub_nature,climax,,linh_vu
flame_trial,Hỏa Linh Bí Cảnh Xuất Thế,41,6,"Bí cảnh Hỏa Linh hiện hình trên đỉnh Xích Diệm Phong. Xích Hỏa Các giết hàng trăm tản tu để độc chiếm. Một vị Nguyên Anh lạ mặt xuất hiện nhìn cảnh tàn sát — rồi cười nhạt và biến mất.",sect_power,12,human,sub_fire,rising,flame_war,bi_canh
beast_tide,Yêu Triều Bạo Động,53,9,"Hàng vạn yêu thú từ Vạn Cốt Sơn tràn xuống nhân giới. Không ai biết điều gì kích động. Sau này tìm thấy mảnh linh phù cắm giữa rừng khắc ký hiệu Thiên Các — thương hội mới mở chưa đầy năm.",war,-15,human,main,rising,border_truce,yeu_toc
flame_war,Bí Cảnh Phân Tranh,58,3,"Ba phái đánh nhau mười bảy năm quanh Hỏa Linh Bí Cảnh. Vị Nguyên Anh lạ mặt năm xưa tái xuất — lần này dẫn một nhóm tản tu vào bí cảnh thẳng qua cửa đang bị bao vây. Bí cảnh sau đó tự đóng.",sect_power,-5,human,sub_fire,resolution,,bi_canh
border_truce,Hòa Ước Thanh Lâm,61,3,"Nhân tộc và yêu tộc lần đầu ngồi lại tại Thanh Lâm Đình. Hòa ước ký bằng huyết. Kẻ chứng kiến là vị thương nhân già của Thiên Các — không ai mời ông ta đến nhưng ông đã ở đó từ trước.",sect_power,8,yao,main,turning,yao_moon,giao_thuong
blood_ritual,Huyết Tế Tà Đàn,74,5,"Ba ngôi làng im lặng hoàn toàn trong đêm không trăng. Quan binh thấy vòng trận vẽ bằng máu. Điều tra cho thấy các làng này nằm đúng trên ba long mạch phụ của Tản Viên Sơn — ai đó đang dùng chúng làm lễ vật.",war,-12,mo,main,rising,mo_shadow,ma_dao
yao_moon,Nguyệt Yêu Triệu Hội,97,8,"Các trưởng lão yêu tộc tề tựu tại Vạn Yêu Cốc dưới ánh trăng xanh. Họ lập minh ước khắc xuống đá thiêng. Người ta nói: một trong những trưởng lão đó không phải yêu tộc thuần chủng — có mùi ma đạo thoáng qua.",sect_power,18,yao,main,turning,ancient_realm,yeu_toc
ancient_realm,Cổ Cảnh Kim Đan Khai Môn,119,3,"Cổ cảnh từ thời Hùng Vương thứ mười bảy hiện ra giữa Hồ Tây. Bên trong có bộ xương tu sĩ Kim Đan tay cầm quyển công pháp dở dang — và một bức thư gửi cho kẻ sẽ đến sau nghìn năm.",realm_open,1,human,sub_ruins,opening,immortal_ruins,bi_canh
dragon_bone,Long Cốt Xuất Thế,148,11,"Ngư dân Bắc Hải kéo lên khúc xương dài ba trượng phát lam quang. Các đại phái tranh đoạt ác liệt — mười bảy người chết trong ba ngày. Cuối cùng xương biến mất qua đêm. Nơi nó nằm giờ là vùng băng vĩnh cửu.",resource_bonus,22,human,sub_north,rising,ice_seal,long_mach
