id,category,realm_id,text
cult_qi_1,cultivation,qi_refining_1,Linh khí mong manh chảy qua kinh mạch như sương sớm đầu núi.
cult_qi_2,cultivation,qi_refining_2,Kinh mạch dần thông suốt và thân thể bắt đầu quen với dòng linh lực.
cult_qi_3,cultivation,qi_refining_3,Linh khí trong thân đặc như sương — chuẩn bị cho bước nhảy vọt tiếp theo.
break_qi_1,breakthrough,qi_refining_1,Thân thể nhẹ như lá khô và tâm thức bắt đầu nghe được tiếng linh khí.
break_qi_2,breakthrough,qi_refining_2,Kinh mạch mở rộng và đan điền bắt đầu tích tụ linh lực.
break_qi_3,breakthrough,qi_refining_3,Cơ thể đã sẵn sàng đón nhận biến đổi — Trúc Cơ đang gọi.
win_qi_1,combat_win,qi_refining_1,Chiến thắng đầu tiên trong tu đạo — đạo tâm bắt đầu vững vàng.
win_qi_2,combat_win,qi_refining_2,Kẻ địch ngã xuống và kinh nghiệm chiến đấu kết tinh trong thần thức.
win_qi_3,combat_win,qi_refining_3,Đối thủ mạnh hơn nhưng ta đã lớn mạnh — Luyện Khí không còn là kẻ yếu.
lose_qi_1,combat_lose,qi_refining_1,Linh lực tán loạn nên người lùi lại để giữ lấy căn cơ.
lose_qi_2,combat_lose,qi_refining_2,Thương tích nhắc nhở rằng còn nhiều điều phải học.
lose_qi_3,combat_lose,qi_refining_3,Thất bại đau đớn nhưng là bài học quý giá trước khi bước vào Trúc Cơ.
cult_found_1,cultivation,foundation_1,Nền móng Trúc Cơ rung lên từng nhịp như trống đồng sâu.
cult_found_2,cultivation,foundation_2,Linh khí không còn tán mạn mà kết thành dòng chảy ổn định.
cult_found_3,cultivation,foundation_3,Đạo cơ vững chãi và kim đan manh nha trong đan điền.
break_found_1,breakthrough,foundation_1,Đạo cơ thành hình và mỗi hơi thở đều kéo theo tiếng vang của nền móng mới.
break_found_2,breakthrough,foundation_2,Căn cơ thêm vững và thần thức bắt đầu giác ngộ.
break_found_3,breakthrough,foundation_3,Nền móng đã sẵn sàng — Kim Đan đang chờ đợi bên kia cánh cửa.
win_found_1,combat_win,foundation_1,Một chiến thắng nữa khắc sâu vào nền đạo cơ.
win_found_2,combat_win,foundation_2,Kẻ địch ngã xuống nhưng đạo tâm vẫn thanh thản.
win_found_3,combat_win,foundation_3,Thắng lợi chứng minh căn cơ đã đủ vững — Kim Đan đang đến gần.
lose_found_1,combat_lose,foundation_1,Nền móng đạo cơ chịu chấn động nhưng chưa sụp đổ.
lose_found_2,combat_lose,foundation_2,Thương tích sâu nhưng căn cơ còn — hãy bế quan tu dưỡng.
lose_found_3,combat_lose,foundation_3,Thất bại nhắc nhở cần chuẩn bị tốt hơn trước khi bước vào Kim Đan.
cult_core_1,cultivation,core_formation_1,Trong đan điền có ánh kim quang tụ lại rồi hợp nhất.
cult_core_2,cultivation,core_formation_2,Kim Đan còn chưa tròn đầy nhưng đã tỏa áp lực trầm ổn.
cult_core_3,cultivation,core_formation_3,Kim Đan rực sáng như mặt trời thu nhỏ trong thân.
break_core_1,breakthrough,core_formation_1,Kim Đan kết thành và linh áp quét qua bốn phía.
break_core_2,breakthrough,core_formation_2,Kim Đan thêm vững và thần thức mở rộng ra ngoài thân.
break_core_3,breakthrough,core_formation_3,Tinh cầu trong đan điền đạt cực hạn — Nguyên Anh đang hình thành.
win_core_1,combat_win,core_formation_1,Kim Đan rung khẽ như đáp lại chiến ý vừa tàn.
win_core_2,combat_win,core_formation_2,Đối thủ mạnh nhưng Kim Đan đã cho ta sức mạnh vượt trội.
win_core_3,combat_win,core_formation_3,Thắng lợi chứng minh Kim Đan đã đạt đỉnh phong — Nguyên Anh đang chờ.
lose_core_1,combat_lose,core_formation_1,Kim Đan ảm đạm nên người cần bế quan ổn lại chân nguyên.
lose_core_2,combat_lose,core_formation_2,Thương tích sâu nhưng Kim Đan còn nguyên vẹn — có thể tu lại.
