id,quest_id,branch_id,choice_text,choice_description,choice_consequence,reward_type,reward_value,npc_relationship_change,world_event_trigger,next_branch
QB001_B1_ROW,QB001,QB001_B1,"Theo dấu Yêu Tộc đi sâu vào hang động","Tìm kiếm sâu hơn, đối mặt Yêu Tộc trực tiếp. Rủi ro cao nhưng đường lối chính trực.","Nữ Tú Anh được tìm thấy, đang bị Yêu Tộc giam giữ. Chuẩn bị chiến đấu.","exp|gold","300|500","lao_dao_cuu_van:+20|yeu_toc:-10","secret_realm_yeu_toc_unlock",QB001_B1_END
QB001_B1_END_ROW,QB001,QB001_B1_END,"Cứu Nữ Tú Anh khỏi hang Yêu Tộc","Đánh bại Yêu Tộc và giải cứu nàng. Đây là con đường chính đạo.","Yêu Tộc bị đánh bật, Nữ Tú Anh an toàn trở về. Lão Đạo Cửu Vân vô cùng biết ơn.","exp|gold|item","400|800|jade_pendant","lao_dao_cuu_van:+50|yeu_toc:-20|nu_tu_anh:+60","none","none"
QB001_B2_ROW,QB001,QB001_B2,"Thỏa hiệp với Yêu Tộc để chuộc Nữ Tú Anh","Đàm phán với Yêu Tộc, chấp nhận điều kiện của họ để giải quyết nhanh. Mất danh dự nhưng an toàn.","Nữ Tú Anh được thả, nhưng Yêu Tộc nhận được lợi ích. Lão Đạo Cửu Vân không hài lòng.","exp|corruption","200|15","lao_dao_cuu_van:-30|yeu_toc:+30|nu_tu_anh:+20","none",QB001_B2_END
QB001_B2_END_ROW,QB001,QB001_B2_END,"Nữ Tú Anh chọn ở lại nghiên cứu Yêu Tộc pháp","Nữ Tú Anh không quay về, muốn học hỏi Yêu Tộc. Lão Đạo Cửu Vân tức giận.","Nữ Tú Anh biến mất vào Yêu Tộc đất, Lão Đạo Cửu Vân trách ngươi.","exp|gold","250|300","lao_dao_cuu_van:-50|yeu_toc:+10","npc_tu_anh_gone","none"
QB002_B1_ROW,QB002,QB002_B1,"Bắt và xử tử điệp viên ngay lập tức","Tiêu diệt kẻ tà đạo, giữ gìn chính đạo. Cứng rắn và dứt khoát.","Điệp viên bị bắt và xử tử. Nhân Vương hài lòng, nhưng phe tà đạo ghi hận.","exp|reputation","200|30","nhan_vuong:+40|ta_dao_phe:-20","none",QB002_ENDING
QB002_B2_ROW,QB002,QB002_B2,"Chuyển hóa điệp viên sang phe mình","Biến kẻ thù thành đồng minh. Rủi ro nhưng có thể có lợi ích lớn.","Điệp viên đồng ý hợp tác, cung cấp thông tin quý giá. Nhân Vương nghi ngạch.","exp|corruption","150|25","nhan_vuong:-10|ta_dao_phe:+20","recruit_demonic_npc",QB002_ENDING
QB002_B3_ROW,QB002,QB002_B3,"Tố giác cho Nhân Vương nhưng đòi lợi ích trước","Lợi dụng tình thế để trục lợi. Không hoàn toàn trung thành với bất cứ bên.","Nhân Vương biết ngươi lợi dụng, không tin tưởng. Phe tà đạo bị lộ nhưng ngươi mất uy tín.","exp|gold|reputation","100|200|10","nhan_vuong:+5|ta_dao_phe:-30","none",QB002_ENDING
QB002_ENDING_ROW,QB002,QB002_ENDING,"Điệp viên sự kiện kết thúc","Dù bằng cách nào, mối họa đã được giải quyết — nhưng với cái giá khác nhau.","Triều đình tạm yên, nhưng mối quan hệ với các phe phái đã thay đổi.","none","none","none","none","none"
QB003_B1_ROW,QB003,QB003_B1,"Hỗ trợ Đệ tử chính phái thành Chính Tông Chủ","Đứng về phía đệ tử chính phái, giúp hắn giành ngôi. Đối lập sẽ bất mãn.","Đệ tử chính phái thắng, trở thành Tông Chủ. Đệ tử đối lập bị áp chế.","exp|faction_contribution","300|100","chinh_tong_chu:+50|disciple_opposition:-20","sect_power_shift",QB003_CONFLICT
QB003_CONFLICT_ROW,QB003,QB003_CONFLICT,"Đệ tử đối lập bất mãn, chuẩn bị phản loạn","Phe đối lập không chịu thua, đang chuẩn bị đảo chính.","Thanh Vân Tông chia rẽ sâu sắc. Ngươi phải chọn: hòa giải hoặc tiêu diệt.","none","none","disciple_opposition:-30","sect_conflict",QB003_B1_CONFLICT_RESOLVE
QB003_B1_RESOLVE_ROW,QB003,QB003_B1_CONFLICT_RESOLVE,"Hòa giải với Đệ tử đối lập","Thuyết phục hai phái hợp tác, tránh nội chiến.","Hai phái đồng ý chung sống hòa bình. Tông môn ổn định.","exp|faction_contribution","250|150","chinh_tong_chu:+30|disciple_opposition:+20","sect_harmony","none"
QB003_B2_ROW,QB003,QB003_B2,"Không can thiệp, để họ tự tranh đấu","Trung lập, không hỗ trợ bên nào. Tông môn tự giải quyết.","Thanh Vân Tông bất ổn, nội chiến nổ ra. Nhiều đệ tử tử thương.","exp|reputation","200|-30","chinh_tong_chu:0|disciple_opposition:0","sect_schism",QB003_SCHISM
QB003_SCHISM_ROW,QB003,QB003_SCHISM,"Thanh Vân Tông chia rẽ làm hai phái","Tông môn bị chia cắt, mỗi phái lập lãnh đạo riêng.","Thanh Vân Tông không còn thống nhất. Quyền lực suy giảm.","exp|reputation","100|-50","chinh_tong_chu:-20|disciple_opposition:-20","sect_split","none"
