id,npc_id,trigger_year,trigger_condition,event_type,event_text,result
senior_an_promote,senior_an,5,always,promote,"An Sư Huynh đã đột phá Kim Đan, trở thành Trưởng Lão của tông môn.","{""realm"": ""core_formation_1"", ""role"": ""elder""}"
elder_van_crisis,elder_van,10,player_sect != cloud_peak,become_enemy,"Vân Thạch Trưởng Lão coi kẻ rời tông là phản đồ.","{}"
thunder_vu_rival,thunder_disciple_vu,12,player_realm >= foundation_1,become_enemy,"Vũ Kiếm Sư Huynh xem ngươi là đối thủ cạnh tranh.","{}"
yao_disciple_lam_friend,yao_disciple_lam,8,player_realm >= qi_refining_3,breakthrough,"Lam Vũ Sư Muội đột phá Trúc Cơ, bắt đầu xem nhân tộc khác biệt.","{""realm"": ""foundation_1""}"
forge_master_sat_retire,forge_master_sat,15,always,disappear,"Sắt Lư Đại Sư biến mất sau một đêm, chỉ để lại một thanh kiếm.","{}"
merchant_ma_wealth,merchant_ma,7,always,promote,"Mã Thương Nhân đã trở thành thương nhân linh thạch lớn nhất vùng đông.","{}"
rogue_lao_co_secret,rogue_lao_co,20,always,disappear,"Lão Cô Tu Sĩ đã tìm thấy lối vào bí cảnh nhưng không ai thấy ông ta trở ra.","{}"
yao_elder_nguyet_reveal,yao_elder_nguyet,25,player_realm >= nascent_soul_1,breakthrough,"Nguyệt Hồ Trưởng Lão tiết lộ thân phận Cửu Vĩ Yêu Hồ.","{}"
blood_elder_huyet_war,blood_elder_huyet,18,sect_power blood_abyss < 30,promote,"Huyết Uyên Tông Chủ đã đạt Nguyên Anh, tông môn ma đạo càng thêm nguy hiểm.","{""realm"": ""deity_transform_1""}"
imperial_envoy_visit,imperial_envoy_diep,10,always,promote,"Diệp Hoàng Sứ được thăng chức, quyền lực trong triều đình tăng lên.","{}"
