id,name_vn,realm_id,element,hp,mp,atk,def,exp_reward,skill_ids,drop_technique_id,story_arc,lore_tag,description
forest_wolf,Linh Lang Tản Mạn,qi_refining,Mộc,45,15,8,2,40,wood_heal,,sub_nature,linh_vu,"Dã lang hấp thu linh khí sau đợt Linh Vũ Thất Nhật sinh ra linh trí sơ khai. Lông xanh lam — màu của linh vũ còn in dấu."
marsh_rat,Hắc Đàm Độc Thử,qi_refining,Thủy,60,18,10,2,55,basic_strike,,sub_nature,linh_vu,"Yêu thử sống trong đầm nước linh vũ tích tụ. Hàm răng nhiễm độc nước linh khí biến chất."
rogue_thief,Tản Tu Lưu Manh,qi_refining,Kim,80,25,12,3,90,metal_slash,metal_slash,main,giao_thuong,"Tản tu mất căn cơ sau trận Lũ Linh Khí năm 26. Không còn gì ngoài một thanh kiếm gỉ và lòng thù hận."
bone_vulture,Cốt Ưng Chiến Trường,qi_refining,None,65,10,9,1,60,basic_strike,,main,giao_chien,"Kên kên yêu linh quanh chiến trường cũ. Từng đàn lớn kéo về Thanh Nguyệt Lâm sau đại chiến — ăn tàn dư mà không bao giờ no."
fire_sprite,Hỏa Linh Tiểu Yêu,foundation,Hỏa,180,60,22,5,200,fire_palm,,sub_fire,bi_canh,"Tinh linh lửa nhỏ sinh ra từ dư hỏa bí cảnh Hỏa Linh. Vô chủ lang thang từ khi bí cảnh đóng cửa năm 58."
yao_scout,Trinh Thám Yêu Tộc,foundation,Mộc,220,55,28,6,260,wood_heal,,main,yeu_toc,"Thám tử tiền tiêu của yêu tộc gửi xuống nhân giới. Mang theo mệnh lệnh không bằng lời — chỉ quan sát và báo cáo."
sky_pavilion_guard,Thiên Các Hộ Tiêu,foundation,Kim,350,80,38,10,420,metal_slash,,sub_trade,giao_thuong,"Vệ binh thương đội Thiên Các. Mặt bịt kín không ai biết danh tính. Đánh thuê cho ai trả giá cao nhất."
stone_guardian,Thạch Vệ Cổ Trận,foundation,Thổ,680,90,45,18,780,earth_stomp,earth_stomp,sub_ruins,bi_canh,"Khôi lỗi cổ đại trong cổ cảnh Kim Đan. Tồn tại hàng nghìn năm chỉ để thực hiện một mệnh lệnh duy nhất: đừng cho ai đến gần."
mist_shadow,Sương Ảnh Thích Khách,foundation,Thủy,520,140,55,12,650,water_shield,,sub_trade,giao_thuong,"Sát thủ Thiên Các chuyên dùng sương mù che giấu thân hình. Mặt nạ bạch cốt — giống y chang kẻ mua đan dược bí ẩn năm 217."
thunder_boar,Lôi Nha Trư Hoang,foundation,None,680,80,58,14,820,earth_stomp,,main,yeu_toc,"Yêu thú hung bạo Vạn Cốt Sơn. Một trong những kẻ đi đầu trong Yêu Triều Bạo Động năm 53 — vẫn còn sống sau tất cả."
border_ghost,Oan Hồn Thanh Nguyệt,core_formation,None,1200,280,88,20,1800,basic_strike,,main,giao_chien,"Oan hồn từ đại chiến Thanh Nguyệt Lâm không tan biến. Không tấn công con người — chỉ hướng về phía bắc nhìn chằm chằm vào Hàn Băng Phong Ấn."
plague_cultist,Tín Đồ Hắc Ôn,core_formation,None,1650,420,110,25,2500,fire_palm,,main,ma_dao,"Ma tu tín đồ giáo phái Hắc Ôn. Đã nhiễm dịch nhưng không chết — thay vào đó trở nên mạnh hơn và điên dại hơn."
golden_wraith,Kim Ảnh Tàn Hồn,core_formation,Kim,3800,850,210,52,5500,metal_slash,,main,ma_dao,"Tàn hồn sát khí ngưng tụ từ những kẻ chết trong Huyết Tế Tà Đàn năm 74. Sắc vàng kim do linh thạch hấp thụ từ thi thể nạn nhân."
abyss_turtle,Huyền Uyên Thần Quy,core_formation,Thủy,5200,1100,260,68,7800,water_shield,,sub_north,long_mach,"Linh quy cổ sống hàng ngàn năm dưới vực nước phía bắc. Đã chứng kiến Long Cốt Xuất Thế năm 148 — và biết nơi khúc xương biến mất."
blood_monkey,Huyết Ma Hầu Cuồng,core_formation,Hỏa,6800,1300,320,75,9500,fire_palm,,main,ma_dao,"Yêu hầu nhiễm ma khí từ Huyết Tế Tà Đàn. Càng bị thương càng phát cuồng — vết thương trên người nó không bao giờ lành."
ice_wraith,Hàn Băng Oan Linh,nascent_soul,Thủy,9500,2200,420,95,15000,water_shield,,sub_north,long_mach,"Oan linh từ thành trì bị đóng băng trong Hàn Băng Phong Ấn năm 196. Khi Thiên Khung Rạn Nứt năm 413 tan phong ấn — nó bước ra."
soul_devourer,Phệ Hồn Quỷ Vực,nascent_soul,None,11000,2500,500,105,17000,basic_strike,,main,ma_dao,"Quỷ vật sinh ra từ Huyết Nguyệt Nghi Lễ năm 563. Nuốt thần hồn tu sĩ để tiến hóa — đã mạnh hơn rất nhiều so với khi mới sinh."
mo_infiltrator,Ma Ảnh Tiềm Phục,nascent_soul,None,14000,3100,580,120,22000,metal_slash,,main,ma_dao,"Đặc vụ ma đạo tiềm phục trong các đại phái suốt nhiều thập kỷ. Một trong những kẻ được Ma Ảnh Thâm Nhập năm 327 cài vào — vừa bị lộ."
ghost_scholar,U Minh Nho Sinh,nascent_soul,None,32000,5800,1200,230,40000,basic_strike,,sub_ruins,bi_canh,"Tàn hồn nho sinh từ tiên phủ cổ đại. Hắn biết nội dung bức thư trong cổ cảnh Kim Đan năm 119 — và nhất quyết không để ai mở gian phòng thứ mười ba."
scarlet_avatar,Xích Ảnh Hỏa Linh,nascent_soul,Hỏa,40000,7200,1500,275,52000,fire_palm,,sub_fire,bi_canh,"Hỏa linh mang hình người xuất hiện sau Phượng Viêm Tái Sinh năm 277. Mắt đỏ như máu — không rõ đây là tinh linh hay tàn hồn vị Nguyên Anh lạ mặt năm xưa."
storm_roc,Phong Lôi Bằng Hoàng,deity_transform,None,55000,9000,1900,335,68000,earth_stomp,,main,yeu_toc,"Cự điểu thần thú của Yêu Hoàng. Được phái xuống như lời cảnh báo trước khi Yêu Hoàng Tuyên Chiến năm 819."
void_titan,Huyền Không Cự Nhân,deity_transform,Thổ,65000,9800,2200,400,82000,earth_stomp,,sub_north,bi_canh,"Cự nhân bước ra từ Thiên Khung Rạn Nứt năm 413. Đã lang thang hàng trăm năm không biết mình là ai — chỉ biết mình cần trở về nơi băng lạnh."
mo_general_avatar,Hóa Thân Ma Tướng,deity_transform,None,88000,12000,2750,500,108000,metal_slash,,main,ma_dao,"Hóa thân của Ma Tướng được giải phóng từ Hàn Băng Phong Ấn sau Huyết Nguyệt Nghi Lễ năm 563. Bản thể Ma Tướng còn mạnh hơn cái này gấp trăm lần."
lava_dragon,Dung Nham Cổ Long,deity_transform,Hỏa,290000,40000,8200,1250,360000,fire_palm,,main,long_mach,"Cổ long ngủ say dưới long mạch Tản Viên Sơn từ thời khai thiên. Linh Mạch Tái Chấn năm 497 đánh thức nó — và nó không vui."
celestial_judge,Thiên Phạt Linh Tướng,deity_transform,None,370000,48000,9800,1520,450000,earth_stomp,,main,giao_chien,"Linh tướng cổ đại trấn giữ cổ cảnh từ thời Hùng Vương. Tỉnh dậy khi Tiên Phủ Tàn Tích Hiện Thế năm 703 — sứ mệnh của nó là đảm bảo gian phòng thứ mười ba không bao giờ được mở."
nine_tail_fox,Cửu Vĩ Yêu Hồ Vương,ascension,Mộc,460000,65000,11800,1680,560000,wood_heal,,main,yeu_toc,"Thuộc hạ trực tiếp của Yêu Hoàng. Có thể mê hoặc cả nguyên thần — truyền thuyết nói vị trưởng lão yêu tộc có mùi ma đạo trong Nguyệt Yêu Triệu Hội năm 97 chính là hồ này đội lốt."
star_eater,Thôn Tinh Hư Không Thú,ascension,None,600000,80000,14200,2050,730000,basic_strike,,sub_north,bi_canh,"Cổ thú từ bên kia Thiên Khung Rạn Nứt. Đã chờ đợi hàng trăm năm kể từ khi khe nứt xuất hiện năm 413 — đến khi đủ mạnh để bước qua."
heaven_devourer,Thôn Thiên Ma Chủ,ascension,None,840000,108000,18000,2600,990000,fire_palm,,main,ma_dao,"Kẻ đứng sau tất cả. Người mua đan dược bí ẩn trong Thiên Bảo Đại Hội năm 217. Kẻ cài ma tu vào các đại phái. Kẻ giăng bẫy cho cả Thiên Ma Đại Chiến. Ma Tướng chỉ là quân tốt của hắn."
