id,name_vn,sect_id,realm_id,personality,role,faction,description,lore
elder_van,Vân Thạch Trưởng Lão,cloud_peak,nascent_soul_2,strict,elder,human,"Đại trưởng lão Vân Đỉnh Tông. Người giữ giới luật và trọng tài mọi tranh chấp trong tông. Giọng nói ít nhưng mỗi lời như tảng đá rơi xuống — nặng và không thể cãi.","Sống sót qua Yêu Triều Bạo Động năm 53 khi còn là đệ tử nhỏ. Chính trận đó khiến ông thề sẽ không bao giờ để tông môn mình tổn thất không đáng."
elder_lam,Lam Trường Lão,cloud_peak,core_formation_3,strict,elder,human,"Trưởng lão phụ trách truyền thụ Hậu Thổ Quy Nguyên cho thế hệ mới. Đánh giá đệ tử bằng độ kiên nhẫn — ai bỏ cuộc trong năm đầu ông không thèm nhớ tên.","Từng là đệ tử xuất sắc nhất của Vân Thạch Trưởng Lão. Ba mươi năm sau ông vẫn chưa vượt qua được sư phụ — và ông chấp nhận điều đó."
senior_an,An Sư Huynh,cloud_peak,foundation_3,friendly,disciple,human,"Đệ tử nội môn lâu năm nhất chưa thành đại trưởng lão. Hay giúp đỡ tân nhân không phải vì được lệnh — mà vì ông nhớ cái cảm giác không biết bắt đầu từ đâu.","Tu luyện chậm nhưng không nản. Đệ tử khác đã lên Kim Đan từ lâu — ông vẫn ở Trúc Cơ và không có vẻ bận tâm."
junior_thao,Thảo Sư Muội,cloud_peak,qi_refining_3,cheerful,disciple,human,"Đệ tử nhỏ tuổi nhất của Vân Đỉnh Tông. Hay hỏi những câu hỏi khó — không phải vì láu cá mà vì thật sự tò mò. Thể chất tốt bất thường so với cảnh giới.","Cha mẹ là nông dân vùng chân Vân Đỉnh Sơn. Vân Thạch Trưởng Lão đích thân xuống núi tìm đến — điều chưa từng xảy ra trong lịch sử tông."
elder_hong,Hồng Viêm Chân Nhân,scarlet_flame,nascent_soul_3,hot_tempered,elder,human,"Chưởng môn thực quyền Liệt Diệm Cốc. Nóng tính nhưng trọng thực lực — ghét kẻ xu nịnh hơn cả kẻ thù. Từng tát một đệ tử Kim Đan trước mặt khách vì dám nói câu giả dối.","Có tin đồn ông là đệ tử của vị Nguyên Anh lạ mặt xuất hiện trong Hỏa Linh Bí Cảnh năm 41. Ông không xác nhận cũng không phủ nhận."
sister_hoa,Hỏa Linh Sư Tỷ,scarlet_flame,core_formation_2,fierce,disciple,human,"Đệ tử cưng của Hồng Viêm Chân Nhân. Chiến đấu theo đúng phong cách Liệt Diệm Cốc — một đòn kết liễu hoặc không đánh. Không có lần hai trong từ điển của cô.","Từng thách đấu đệ tử Lôi Phạt Điện và thắng trong ba lượt. Mối thù giữa hai tông từ đó mà ra."
forge_master_sat,Sắt Lư Đại Sư,iron_forge,core_formation_1,calm,elder,human,"Thủ lĩnh Thiết Lư Hội. Không tự gọi mình là chưởng môn — chỉ là 'thợ rèn lớn tuổi nhất'. Nói chuyện bằng việc làm chứ không bằng lời. Thanh kiếm ông rèn có thể bán nuôi cả tông môn một năm.","Cha ông rèn kiếm. Ông nội ông rèn kiếm. Và cha của ông nội ông. Dòng họ Sắt giữ lò từ thời Hùng Vương — không gián đoạn một ngày."
apprentice_cuong,Cương Sư Đệ,iron_forge,foundation_1,stubborn,disciple,human,"Đệ tử mới nhập môn Thiết Lư Hội. Tay vẫn còn chai sần từ hồi làm thợ rèn phàm. Học tu luyện chậm nhưng học rèn kiếm nhanh đến mức khiến Sắt Lư Đại Sư ngạc nhiên.","Không có linh căn tốt — Kim linh căn bình thường. Nhưng hiểu kim loại theo cách mà nhiều Kim Đan kỳ không có."
elder_luu,Lưu Ảnh Trưởng Lão,wind_shadow,core_formation_3,mysterious,elder,human,"Trưởng lão Thanh Ảnh Các. Ít người biết mặt vì ông di chuyển liên tục — một tuần ở đây một tuần ở đó. Các đệ tử đôi khi không biết sư phụ đang ở đâu cho đến khi ông đứng ngay sau lưng họ.","Tên thật không ai biết. Lưu Ảnh là biệt danh các đệ tử đặt vì ông đến và đi như bóng liễu — không dấu vết."
shadow_ty,Ảnh Sư Tỷ,wind_shadow,foundation_2,quiet,disciple,human,"Đệ tử kỳ cựu Thanh Ảnh Các. Hầu như không nói chuyện — trả lời bằng cử chỉ hoặc gật đầu. Nhưng trong bóng tối cô nghe được mọi thứ và nhớ tất cả.","Có tin đồn cô từng là thám tử cho một thương hội lớn trước khi vào môn. Cô không phủ nhận."
current_master,Lưu Trầm Đạo Nhân,deep_current,nascent_soul_1,calm,elder,human,"Chưởng môn Trầm Lưu Môn. Nói chuyện nhẹ nhàng như nước chảy — nhưng một lần ông tức giận cả con sông đổi chiều. Tính kiên nhẫn của ông được cả tu giới biết đến.","Từng bị coi là không có tương lai vì tu luyện quá chậm. Ba trăm năm sau ông là người duy nhất trong thế hệ mình còn sống."
sister_lien,Liên Sư Tỷ,deep_current,foundation_3,gentle,disciple,human,"Đệ tử Trầm Lưu Môn am hiểu trị liệu và khống chế. Tính tình ôn hòa nhưng trong chiến đấu lại là người khó chịu nhất để đối phó — như cố bắt nước bằng tay.","Cha là ngư dân ven sông thiêng. Từ nhỏ đã quen với nước — khi vào môn thủy pháp phát triển nhanh đến mức sư phụ kiểm tra lại linh căn ba lần."
thunder_elder_bao,Bão Lôi Chân Nhân,thunder_judgement,deity_transform_1,righteous,elder,human,"Sáng lập Lôi Phạt Điện sau Huyết Tế Tà Đàn năm 74. Chứng kiến ba ngôi làng bị tàn sát và thề sẽ không để điều đó xảy ra lần nữa. Trăm năm sau ông vẫn thực hiện lời thề đó.","Tuổi thực của ông không ai biết. Có người nói ông đã sống qua cả Yêu Triều Bạo Động năm 53 — nhưng ông chưa bao giờ xác nhận."
thunder_disciple_vu,Vũ Kiếm Sư Huynh,thunder_judgement,core_formation_2,righteous,disciple,human,"Đệ tử xuất sắc nhất thế hệ của Lôi Phạt Điện. Kết hợp Kim hệ kiếm pháp với Hỏa hệ lôi ấn — đòn đánh như sấm sét mang theo kiếm khí. Tính tình cứng nhắc nhưng tuyệt đối trung thực.","Cha bị ma tu giết khi ông còn nhỏ. Vào Lôi Phạt Điện không phải vì lý tưởng — mà vì thù hận. Nhưng Bão Lôi Chân Nhân dạy ông phân biệt thù hận và chính nghĩa."
poison_elder_doc,Độc Tâm Lão Nhan,poison_shadow,nascent_soul_1,cunning,elder,human,"Trưởng lão Độc Ảnh Song Tông. Xuất thân từ Trầm Ảnh Viện trước khi sáp nhập. Biết hàng trăm loại độc — và cách chữa chỉ mình ông biết. Nụ cười của ông khiến người ta bất an.","Nghe đồn ông đã đầu độc một kẻ thù rồi chờ hai mươi năm mới để chất độc phát tác. Có người hỏi sao chờ lâu thế — ông nói: vì mùa xuân năm đó đẹp quá."
