id,name_vn,min_realm,time_months,risk,exp_reward,item_reward,element,story_arc,lore_tag,trigger_condition,description,lore
mist_cave,Động Sương Mù,qi_refining,2,0.08,80,reed_flute_charm,Mộc,none,linh_vu,always,"Hang đá nhỏ trong rừng Thanh Ảnh Lâm nơi linh khí đọng thành giọt sương vào mỗi rạng sáng. Ai ngồi thiền trong đó đủ lâu sẽ nghe thấy tiếng sáo không rõ nguồn gốc.","Tương truyền do một tu sĩ mù luyện sáo đủ trăm năm tạo ra. Người ta tìm thấy cây sáo gãy ở cuối hang — nhưng không bao giờ tìm thấy xác."
red_sand_ruin,Di Tích Cát Đỏ,qi_refining,3,0.15,180,stone_pendant,Thổ,none,long_mach,always,"Phế tích cổ chìm trong cát đỏ ở vùng đất khô cằn phía đông. Linh khí Thổ hệ tích tụ trong các phiến đá khắc văn tự không ai đọc được. Kẻ vào đây thường ra về với cảm giác bị nhìn theo.","Văn tự trên phiến đá giống ký hiệu trên mảnh linh phù tìm thấy sau Yêu Triều Bạo Động năm 53. Chưa ai giải mã được."
ember_grotto,Hang Hỏa Tàn,qi_refining,3,0.18,200,wind_boots,Hỏa,sub_fire,bi_canh,always,"Hang sâu dưới chân Liệt Diệm Cốc nơi dư hỏa từ Hỏa Linh Bí Cảnh năm 41 vẫn còn rỉ ra. Nhiệt độ bên trong đủ nấu chảy sắt thường — nhưng linh khí Hỏa hệ lại đặc dị thường.","Mỗi lần Liệt Diệm Cốc nhận đệ tử mới họ đều thử thách bằng cách vào đây ngồi một đêm. Không phải ai cũng ra được."
bone_marsh,Đầm Cốt Trắng,qi_refining,4,0.22,260,cloth_bracer,Âm,main,giao_chien,always,"Vùng đầm lầy nơi xương của tử sĩ từ Yêu Triều Bạo Động năm 53 còn chưa tan hết. Âm khí nặng nề khiến linh lực khó lưu thông — nhưng cũng khiến tâm trí trở nên sắc bén lạ thường.","Ngư dân địa phương không bao giờ đặt bẫy ở đây. Họ nói: cá trong đầm này ăn bằng xương người còn tươi."
thunder_ridge,Lôi Vân Sơn Lăng,foundation,5,0.25,520,copper_ring,Kim,main,long_mach,always,"Dãy núi nơi lôi vân tụ lại trước bình minh mỗi ngày không kể thời tiết. Tu sĩ Kim hệ tu luyện ở đây nhanh hơn nhưng nguy hiểm hơn — sét đánh không phân biệt kẻ tu luyện hay kẻ lánh nạn.","Lôi Phạt Điện xây tông môn ngay cạnh dãy núi này. Họ nói: kẻ sợ sét không đủ tư cách luyện lôi pháp."
moon_yao_forest,Rừng Nguyệt Yêu,foundation,6,0.28,680,wood_pendant,Mộc,main,yeu_toc,always,"Rừng sâu nơi yêu khí và nguyệt hoa quấn lấy nhau. Vào ban ngày bình thường như mọi rừng khác — nhưng đêm rằm rừng phát ánh xanh lam và mọi sinh linh bên trong đều cảm nhận được điều gì đó đang nhìn chúng.","Rừng này là nơi Nguyệt Yêu Triệu Hội năm 97 diễn ra. Người ta nói đá thiêng khắc minh ước vẫn còn ở đâu đó trong rừng sâu."
ancient_battlefield,Cổ Chiến Trường Thanh Nguyệt,foundation,6,0.32,750,tiger_bone_brace,Âm,main,giao_chien,always,"Vùng đất chết sau đại chiến Thanh Nguyệt Lâm năm 247. Cây không mọc được — nhưng linh khí từ máu của hàng vạn tu sĩ ngấm sâu vào đất tạo ra môi trường tu luyện kỳ lạ: học nhanh hơn nhưng tâm tính dần trở nên hiếu chiến.","Có người báo cáo nhìn thấy Bách Quỷ Dạ Hành vào ban ngày tại đây. Điều tra xác nhận: oan hồn không chỉ xuất hiện vào đêm trăng máu."
frozen_palace,Cung Điện Băng Ấn,foundation,7,0.35,880,jade_pendant_azure,Thủy,sub_north,long_mach,after_event_ice_seal,"Tàn tích của thành trì bị đóng băng trong Hàn Băng Phong Ấn năm 196. Khi Thiên Khung Rạn Nứt năm 413 tan băng một phần — lối vào xuất hiện. Bên trong mọi thứ vẫn nguyên như ngày bị phong ấn: bàn ăn còn bày thức ăn chưa kịp ăn.","Không ai biết cư dân trong thành đã đi đâu. Họ không chết trong băng — họ đơn giản là biến mất. Chỉ còn lại đồ vật."
sky_pavilion_vault,Kho Ngầm Thiên Các,core_formation,8,0.38,1400,earth_shield_ring,Kim,sub_trade,giao_thuong,after_event_sky_pavilion,"Kho bí mật của thương hội Thiên Các được phát hiện sau khi họ biến mất năm 217. Bên trong chứa hàng trăm giao dịch bí mật được ghi chép đầy đủ — và những thông tin đó vẫn còn nguy hiểm đến tận ngày nay.","Ai đọc được toàn bộ sổ sách trong kho đều hiểu tại sao Thiên Các không thể tồn tại mãi. Họ biết quá nhiều về quá nhiều người."
fire_spirit_nest,Tổ Phượng Hỏa Linh,core_formation,8,0.40,1600,flame_pauldron,Hỏa,sub_fire,bi_canh,after_event_phoenix_fire,"Nơi dị hỏa cổ đại Phượng Viêm Tái Sinh năm 277 thức tỉnh. Lông phượng hoàng rơi lại vẫn còn phát sáng. Hỏa linh tiểu yêu vô chủ tụ tập về đây như tìm lại chủ nhân — và bất kỳ ai vào đây đều bị chúng vây quanh.","Trung tâm tổ vẫn còn vết cháy hình người. Kích thước vừa đúng với một người đứng — đứng và cúi đầu."
